Student,LPIPS,SSIM
114598033.png,0.0,1.0
113370239.png,0.2384125143289566,0.7215961537537368
113590022.png,0.24625977873802185,0.6552611865389254
113590051.png,0.26743918657302856,0.7113471443115035
113590021.png,0.2744539976119995,0.6504321672754
111590047.png,0.2786208689212799,0.6789564090353074
112590454.png,0.28816691040992737,0.6793567390500681
113590001.png,0.29975301027297974,0.653043356700434
113590026.png,0.3045041561126709,0.6816308693773575
113590015.png,0.3119904100894928,0.6320791155427664
113590045.png,0.31894004344940186,0.6636602567819447
113590052.png,0.3255106508731842,0.6207326868730917
113590028.png,0.3287404477596283,0.579118947302446
112590455.png,0.35367825627326965,0.6247134632925473
111590028.png,0.3763020634651184,0.6858099641026508
113590002.png,0.376973032951355,0.6080146802621162
113590018.png,0.3809068202972412,0.6008380766741535
113AC1012.png,0.385625958442688,0.6370019587111138
113590047.png,0.3896978497505188,0.7136830942693494
114054809.png,0.3949136734008789,0.6202043897807159
113590004.png,0.4071725010871887,0.6902380278598061
113590062.png,0.4226526618003845,0.5691159089130294
113590011.png,0.42483821511268616,0.5614432152194363
113590043.png,0.43536946177482605,0.7151039675352323
113590057.png,0.4365183115005493,0.5728444156974263
113590025.png,0.4421888589859009,0.7178898498240885
113590042.png,0.4479314982891083,0.550575707318055
113590010.png,0.4497929513454437,0.5771169903583762
111590042.png,0.46794742345809937,0.7232289374268899
113590049.png,0.480141282081604,0.5322713086624409
113590008.png,0.5246857404708862,0.5190387022448848
111590455.png,0.5405641794204712,0.505470111167088
